Gene ID,Gene Symbol,WT Control,WT Fracture,DTR Control,DTR fracture,LogFC WT Fx vs WT Ctrl,LogFC DTR Fx vs WT FX,LogFC DTR Fx vs DTR Ctrl,LogFC DTR Ctrl vs WT Ctrl,SD WT Control,SD WT Fracture,SD DTR Control,SD DTR Fracture,SEM WT Control,SEM WT Fracture,SEM DTR Control,SEM DTR Fracture
ENSMUSG00000000001.4,Gnai3,485.4,591.8,535,353,0.2859,-0.7454,-0.5999,0.1404,330.9906,111.1787,188.5099,250.4017,148.0235,49.7206,108.8363,144.5695
ENSMUSG00000000028.15,Cdc45,98,99.8,30,30.66666667,0.0263,-1.7024,0.0317,-1.7078,72.5948,23.4563,9.5394,37.8726,32.4654,10.4900,5.5076,21.8658
ENSMUSG00000000056.7,Narf,788.6,725,903,455.6666667,-0.1213,-0.6700,-0.9867,0.1954,511.3226,185.5869,217.4006,332.6926,228.6704,82.9970,125.5163,192.0801
ENSMUSG00000000058.6,Cav2,40.2,66,48,24.33333333,0.7153,-1.4395,-0.9801,0.2558,37.9038,12.1861,8.7178,11.0604,16.9511,5.4498,5.0332,6.3857
ENSMUSG00000000078.7,Klf6,962.6,1249.6,1237,866,0.3765,-0.5290,-0.5144,0.3618,392.9768,100.4455,180.6848,413.8635,175.7446,44.9206,104.3184,238.9442
ENSMUSG00000000085.16,Scmh1,181,239.2,221.6666667,177.6666667,0.4022,-0.4290,-0.3192,0.2924,93.5975,64.7549,40.1539,94.7699,41.8581,28.9593,23.1828,54.7154
ENSMUSG00000000088.7,Cox5a,1089,1266.6,1286.666667,1585.333333,0.2180,0.3238,0.3011,0.2406,442.4890,368.8378,271.1906,705.7311,197.8871,164.9493,156.5720,407.4540
ENSMUSG00000000127.15,Fer,250.6,216.2,263,190.6666667,-0.2130,-0.1813,-0.4640,0.0697,60.7602,46.0511,69.4190,18.0093,27.1728,20.5947,40.0791,10.3976
ENSMUSG00000000131.15,Xpo6,350.6,377.8,367.3333333,237.6666667,0.1078,-0.6687,-0.6282,0.0673,251.9827,128.8592,150.6464,251.6830,112.6901,57.6276,86.9757,145.3092
ENSMUSG00000000134.17,Tfe3,1408,1548.2,1504.666667,1301.666667,0.1369,-0.2502,-0.2091,0.0958,653.3961,360.2932,430.5024,736.7716,292.2076,161.1280,248.5507,425.3753
ENSMUSG00000000148.17,Brat1,532.6,528.2,578.3333333,379,-0.0120,-0.4789,-0.6097,0.1188,311.8025,180.9260,29.2803,271.1439,139.4423,80.9125,16.9050,156.5450
ENSMUSG00000000149.10,Gna12,1610,2117.4,1687.666667,1713.666667,0.3952,-0.3052,0.0221,0.0680,962.4097,812.7809,304.6331,1541.1315,430.4027,363.4867,175.8800,889.7727
ENSMUSG00000000168.9,Dlat,197.8,192.4,226,163.6666667,-0.0399,-0.2333,-0.4656,0.1923,60.2138,42.7703,29.5127,63.7050,26.9284,19.1275,17.0392,36.7801
ENSMUSG00000000171.5,Sdhd,948.2,1276.8,1434,844,0.4293,-0.5972,-0.7647,0.5968,469.8082,153.8756,264.0511,329.2598,210.1046,68.8153,152.4500,190.0982
ENSMUSG00000000194.13,Gpr107,1233.8,1416.6,1478.666667,1074.333333,0.1993,-0.3990,-0.4609,0.2612,601.9848,166.4611,235.3855,463.9960,269.2158,74.4437,135.8999,267.8882
ENSMUSG00000000244.17,Tspan32,835.2,1148,1533.333333,1988,0.4589,0.7922,0.3746,0.8765,152.1535,150.3845,480.4522,237.3120,68.0451,67.2540,277.3892,137.0122
ENSMUSG00000000253.13,Gmpr,805.8,1012.2,944,643.3333333,0.3290,-0.6539,-0.5532,0.2284,269.5917,115.1551,113.4769,231.2149,120.5651,51.4989,65.5159,133.4920
ENSMUSG00000000275.16,Trim25,569.6,580.2,727.3333333,513,0.0266,-0.1776,-0.5037,0.3527,226.1002,65.4462,125.4286,173.6923,101.1151,29.2684,72.4162,100.2813
ENSMUSG00000000278.10,Scpep1,1719.6,2091,2826.666667,1896.666667,0.2821,-0.1407,-0.5756,0.7170,1054.2428,330.8890,620.2551,1186.9732,471.4717,147.9780,358.1044,685.2993
ENSMUSG00000000282.12,Mnt,93,124.6,83.33333333,118.6666667,0.4220,-0.0704,0.5099,-0.1583,24.4029,13.2590,28.0060,35.2326,10.9133,5.9296,16.1692,20.3415
