Transcript ID,Ensemble Gene ID,Gene Symbol,FC Injured-Resident vs Uninjured-Resident: Uninjured-Resident,FC Injured-Resident vs Uninjured-Resident: Injured-Resident,FC Injured-Repopulated vs Injured-Resident: Injured-Resident,FC Injured-Repopulated vs Injured-Resident: Injured-Repopulated,FC Injured-Repopulated vs Uninjured-Repopulated: Uninjured-Repopulated,FC Injured-Repopulated vs Uninjured-Repopulated: Injured-Repopulated,FC Uninjured-Repopulated vs Uninjured-Resident: Uninjured-Resident,FC Uninjured-Repopulated vs Uninjured-Resident: Uninjured-Repopulated,Adj-p Injured-Resident vs Uninjured-Resident,Adj-p Injured-Repopulated vs Injured-Resident,Adj-p Injured-Repopulated vs Uninjured-Repopulated,Adj-p Uninjured-Repopulated vs Uninjured-Resident, 
ENSMUST00000000001.4,ENSMUSG00000000001.4,Gnai3,1,0.8608,1,0.9468,1,1.1184,1,0.7288,0.9999,0.8496,0.9999,0.0646,
ENSMUST00000000028.13,ENSMUSG00000000028.15,Cdc45,1,1.6219,1,0.3434,1,0.3761,1,1.4809,0.9999,0.9999,0.9999,0.9711,
ENSMUST00000000058.6,ENSMUSG00000000058.6,Cav2,1,0.6678,1,0.8705,1,1.0945,1,0.5311,0.9999,0.8081,0.9999,0.1112,
ENSMUST00000000080.7,ENSMUSG00000000078.7,Klf6,1,0.8680,1,0.9864,1,1.0159,1,0.8428,0.9999,0.9753,0.9999,0.4941,
ENSMUST00000000087.12,ENSMUSG00000000085.16,Scmh1,1,1.0368,1,0.8683,1,0.7972,1,1.1292,0.9999,0.8324,0.9999,0.9668,
ENSMUST00000000090.7,ENSMUSG00000000088.7,Cox5a,1,1.1103,1,0.9919,1,0.9760,1,1.1284,0.9999,0.9909,0.9999,0.8673,
ENSMUST00000000129.13,ENSMUSG00000000127.15,Fer,1,0.8440,1,1.1465,1,1.4492,1,0.6677,0.9999,0.8611,0.9999,0.6743,
ENSMUST00000000137.7,ENSMUSG00000020152.7,Actr2,1,1.0022,1,0.9360,1,0.9284,1,1.0104,0.9999,0.7135,0.9999,0.9935,
ENSMUST00000000153.8,ENSMUSG00000000149.10,Gna12,1,0.9666,1,0.9599,1,0.9990,1,0.9288,0.9999,0.8311,0.9999,0.8448,
ENSMUST00000000175.5,ENSMUSG00000000171.5,Sdhd,1,0.9202,1,1.0566,1,1.0077,1,0.9648,0.9999,0.8238,0.9999,0.9773,
ENSMUST00000000193.5,ENSMUSG00000035385.5,Ccl2,1,1.6098,1,4.0764,1,0.5938,1,11.0507,0.9999,3.57E-12,0.6477,1.01E-14,
ENSMUST00000000194.3,ENSMUSG00000035352.3,Ccl12,1,2.1011,1,2.9784,1,0.6720,1,9.3119,0.0313,1.76E-11,0.7142,6.28E-20,
ENSMUST00000000199.7,ENSMUSG00000062661.6,Ncs1,1,0.6434,1,0.4980,1,1.2706,1,0.2522,0.9832,0.0004,0.9999,3.56E-06,
ENSMUST00000000260.12,ENSMUSG00000000253.13,Gmpr,1,0.8351,1,0.8232,1,1.0580,1,0.6497,0.9999,0.3426,0.9999,0.0859,
ENSMUST00000000285.8,ENSMUSG00000000276.11,Dgke,1,1.4295,1,0.9648,1,0.4597,1,3.0001,0.9999,0.9999,0.9999,0.6416,
ENSMUST00000000287.8,ENSMUSG00000000278.10,Scpep1,1,1.0619,1,1.5275,1,0.8417,1,1.9272,0.9999,7.28E-12,0.5486,7.10E-12,
ENSMUST00000000291.8,ENSMUSG00000000282.12,Mnt,1,1.1087,1,0.7348,1,0.8796,1,0.9262,0.9999,0.3919,0.9999,0.9832,
ENSMUST00000000299.13,ENSMUSG00000000290.13,Itgb2,1,1.0493,1,1.2510,1,0.8193,1,1.6022,0.9999,1.38E-06,0.0483,6.55E-12,
ENSMUST00000000304.13,ENSMUSG00000000295.13,Hddc2,1,0.8759,1,0.8706,1,0.8215,1,0.9283,0.9999,0.8913,0.9999,0.9893,
ENSMUST00000000335.11,ENSMUSG00000000326.13,Comt,1,1.0576,1,0.9833,1,1.2142,1,0.8565,0.9999,9.56E-01,0.2944,0.3883,
ENSMUST00000000348.14,ENSMUSG00000000339.14,Rtca,1,0.9237,1,0.9229,1,1.1417,1,0.7467,0.9999,0.8615,0.9999,0.5043,
ENSMUST00000000349.10,ENSMUSG00000000340.10,Dbt,1,1.1828,1,0.8393,1,0.9004,1,1.1025,0.9999,0.7249,0.9999,0.9733,
ENSMUST00000000356.9,ENSMUSG00000000346.9,Dazap2,1,0.8436,1,1.0684,1,0.9139,1,0.9862,0.6027,0.6367,0.9999,0.9916,
